"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
#2025-05-27#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-05-28#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2025-05-29#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,"リプラ","リプラ"
#2025-05-30#,"金",,,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-05-31#,"土",,,,,,,,,,,,,,
#2025-06-01#,"日",,,,,,,,,,,,,,
#2025-06-02#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2025-06-03#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-04#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2025-06-05#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2025-06-06#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-07#,"土",,,,,,,,,,,,,,
#2025-06-08#,"日",,,,,,,,,,,,,,
#2025-06-09#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2025-06-10#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-11#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2025-06-12#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2025-06-13#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-14#,"土",,,,,,,,,,,,,,
#2025-06-15#,"日",,,,,,,,,,,,,,
#2025-06-16#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2025-06-17#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-18#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2025-06-19#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2025-06-20#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-21#,"土",,,,,,,,,,,,,,
#2025-06-22#,"日",,,,,,,,,,,,,,
#2025-06-23#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2025-06-24#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-25#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2025-06-26#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2025-06-27#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-06-28#,"土",,,,,,,,,,,,,,
#2025-06-29#,"日",,,,,,,,,,,,,,
#2025-06-30#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,
#2025-07-01#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-07-02#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2025-07-03#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2025-07-04#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-07-05#,"土",,,,,,,,,,,,,,
#2025-07-06#,"日",,,,,,,,,,,,,,
#2025-07-07#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2025-07-08#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-07-09#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2025-07-10#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2025-07-11#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-07-12#,"土",,,,,,,,,,,,,,
#2025-07-13#,"日",,,,,,,,,,,,,,
