"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
#2018-05-14#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-05-15#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-16#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-05-17#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-05-18#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-19#,"土",,,,,,,,,,,,,,,,,,,,
#2018-05-20#,"日",,,,,,,,,,,,,,,,,,,,
#2018-05-21#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-05-22#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-23#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-05-24#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-05-25#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-26#,"土",,,,,,,,,,,,,,,,,,,,
#2018-05-27#,"日",,,,,,,,,,,,,,,,,,,,
#2018-05-28#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-05-29#,"火","リプラ",,,,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-30#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ",,,,,"リプラ","リプラ","リプラ","リプラ","リプラ",,,,,
#2018-05-31#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,"リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-06-01#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-02#,"土",,,,,,,,,,,,,,,,,,,,
#2018-06-03#,"日",,,,,,,,,,,,,,,,,,,,
#2018-06-04#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-06-05#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-06#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-06-07#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-06-08#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-09#,"土",,,,,,,,,,,,,,,,,,,,
#2018-06-10#,"日",,,,,,,,,,,,,,,,,,,,
#2018-06-11#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-06-12#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
