"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
#2023-05-23#,"火","リプラ","リプラ","他プラ","他プラ",,"不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-05-24#,"水","他プラ",,"リプラ",,"他プラ","リプラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","資源"
#2023-05-25#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"不燃","リプラ","リプラ"
#2023-05-26#,"金",,"他プラ","不燃","リプラ","リプラ","資源","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-05-27#,"土",,,,,,,,,,,,,,,,
#2023-05-28#,"日",,,,,,,,,,,,,,,,
#2023-05-29#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,"リプラ","リプラ",,
#2023-05-30#,"火","リプラ","リプラ",,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-05-31#,"水",,,"リプラ",,,"リプラ",,,"リプラ","リプラ","リプラ","リプラ",,,,
#2023-06-01#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃",,"リプラ","リプラ"
#2023-06-02#,"金","不燃","資源",,"リプラ","リプラ","他プラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-06-03#,"土",,,,,,,,,,,,,,,,
#2023-06-04#,"日",,,,,,,,,,,,,,,,
#2023-06-05#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃",,"リプラ","リプラ","他プラ",
#2023-06-06#,"火","リプラ","リプラ","資源","資源","不燃",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-06-07#,"水","資源","不燃","リプラ","不燃","資源","リプラ",,"他プラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,"他プラ"
#2023-06-08#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"不燃","リプラ","リプラ"
#2023-06-09#,"金",,"他プラ","不燃","リプラ","リプラ","資源","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-06-10#,"土",,,,,,,,,,,,,,,,
#2023-06-11#,"日",,,,,,,,,,,,,,,,
#2023-06-12#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,"不燃","リプラ","リプラ","資源","不燃"
#2023-06-13#,"火","リプラ","リプラ","他プラ","他プラ",,"不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-06-14#,"水","他プラ",,"リプラ",,"他プラ","リプラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","資源"
#2023-06-15#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃",,"リプラ","リプラ"
#2023-06-16#,"金","不燃","資源",,"リプラ","リプラ","他プラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-06-17#,"土",,,,,,,,,,,,,,,,
#2023-06-18#,"日",,,,,,,,,,,,,,,,
